Topic,Group ID,Documents,Words
Topic 00, CVC-UNCC-06-01,0.001996812258824198,5.46527515240183
Topic 00, CVC-UNCC-06-02,1.6610354797636378E-5,0.04413371269731985
Topic 00, CVC-UNCC-06-03,0.9517907809438728,2435.6326084353705
Topic 00, CVC-UNCC-06-04,2.6374845530792614E-4,0.7479906192532785
Topic 00, CVC-UNCC-06-05,7.729559054335047E-7,0.0020800243415215612
Topic 00, CVC-UNCC-06-06,3.094468771699894E-5,0.08339593339731215
Topic 00, CVC-UNCC-06-07,2.3396186413068425E-6,0.006094706560604325
Topic 00, CVC-UNCC-06-08,2.3966373274464493E-5,0.06233653688688215
Topic 00, CVC-UNCC-06-09,4.2964194988922E-6,0.010839866395705021
Topic 00, CVC-UNCC-06-09_0,4.2964194988922E-6,0.010839866395705021
Topic 00, CVC-UNCC-06-11,2.885413020608387E-6,0.007444365593169639
Topic 00, CVC-UNCC-07-01,9.018392060399354E-6,0.02433162177895746
Topic 00, CVC-UNCC-07-02,1.873708663554809E-5,0.0485852656459762
Topic 00, CVC-UNCC-07-03,0.020456467853554643,47.76585243805009
Topic 00, CVC-UNCC-07-04,8.491669386885748E-7,0.001874960600624373
Topic 00, CVC-UNCC-07-05,9.600164810884695E-6,0.027110865425938376
Topic 00, CVC-UNCC-07-06,0.628165935225241,1699.8170207195021
Topic 00, CVC-UNCC-07-07,9.926999855351575E-5,0.2281224566759792
Topic 00, CVC-UNCC-07-08,-0.013952455909964934,-33.44403681618595
Topic 00, CVC-UNCC-07-09,1.8907933739266737E-5,0.05029510374644952
Topic 00, CVC-UNCC-07-10,7.425472432231284E-7,0.0018875550922731925
Topic 00, CVC-UNCC-07-11,2.825623021947587E-5,0.07719602095960808
Topic 00, CVC-UNCC-07-12,4.786963543013695E-6,0.013346054357922183
Topic 00, CVC-UNCC-07-13,4.238961804300547E-5,0.1186061512843293
Topic 00, CVC-UNCC-07-14,0.003857251536453694,10.298861602331362
Topic 00, CVC-UNCC-07-15,0.007018973483968438,11.883122108358565
Topic 00, CVC-UNCC-07-16,-5.6055735974719534E-5,-0.1394666711051022
Topic 00, CVC-UNCC-08-01,0.025021250382991578,66.33133476531067
Topic 00, CVC-UNCC-08-02,2.027664198194104E-6,0.005417918737574646
Topic 00, CVC-UNCC-08-03,1.6420316244074847E-5,0.030738832008908114
Topic 00, CVC-UNCC-08-04,2.1601090790343708E-6,0.005570921314829642
Topic 00, CVC-UNCC-08-05,0.07450786175928527,203.62998618812665
Topic 00, CVC-UNCC-08-06,1.3358133090451442E-5,0.03885880916012324
Topic 00, CVC-UNCC-08-07,3.789613687003548E-5,0.10220588113848568
Topic 00, CVC-UNCC-08-08,-1.9223749094016415E-7,-5.346124623045965E-4
Topic 00, CVC-UNCC-08-09,1.8236751978782855E-5,0.0474337918968142
Topic 00, CVC-UNCC-08-10,-2.2530203662549737E-6,-0.006281420781118867
Topic 00, CVC-UNCC-08-11,0.006677041955901345,18.00798215506593
Topic 00, CVC-UNCC-08-12,2.7291853533834736E-5,0.05698539017864693
Topic 00, CVC-UNCC-08-13,0.0076912267780456,20.45097200282325
Topic 00, CVC-UNCC-08-14,5.22388802918906E-5,0.10959717085238647
Topic 00, CVC-UNCC-08-15,8.625026955355758E-5,0.20656939558077042
Topic 00, CVC-UNCC-08-16,1.1043727966405824E-6,0.00305248640991457
Topic 00, CVC-UNCC-08-18,9.788507279022934E-6,0.025743774143830316
Topic 00, CVC-UNCC-08-19,-4.174062245562107E-7,-0.0011345101183437806
Topic 00, CVC-UNCC-08-20,2.2955144665446034E-4,0.6092295394209377
Topic 00, CVC-UNCC-08-21,4.46845799435027E-6,0.0116001169533333
Topic 00, CVC-UNCC-08-22,0.01936764975595206,52.04087489424318
Topic 00, CVC-UNCC-08-23,2.765608934685751E-5,0.07539049955953357
Topic 00, CVC-UNCC-08-24,2.550278429981934E-4,0.6192076027996136
Topic 00, CVC-UNCC-08-25,4.5002251078487375E-7,0.0011858093159181422
Topic 00, CVC-UNCC-08-26,0.005620701341387336,10.471366599004606
Topic 00, CVC-UNCC-08-27,-1.4382511961999379E-5,-0.03796983157967836
Topic 00, CVC-UNCC-08-28,0.6438780732579812,1231.738754142518
Topic 00, CVC-UNCC-08-29 2,7.706136848762684E-6,0.019226811437662895
Topic 00, CVC-UNCC-08-30,3.8254518595648836E-4,0.36035756517101203
Topic 00, CVC-UNCC-08-31,4.535822055949116E-5,0.1082700724755054
Topic 00, CVC-UNCC-08-32,1.0130935753491188E-5,0.023909008378239203
Topic 00, CVC-UNCC-08-33,3.419146402585234E-5,0.08718823326592347
Topic 00, CVC-UNCC-08-34,0.0022446878080687326,0.013468126848412396
Topic 00, CVC-UNCC-08-35,2.4190194972656117E-6,0.007087727126988242
Topic 00, CVC-UNCC-08-36,2.0972748590282507E-5,0.045154327714878234
Topic 00, CVC-UNCC-08-37,-9.159863175692106E-7,-0.002612392977707389
Topic 00, CVC-UNCC-08-38,5.380128103383712E-5,0.142358189615533
Topic 00, CVC-UNCC-09-01,4.551892084066562E-5,0.11762089145227997
Topic 00, CVC-UNCC-09-02,0.037191453374631346,94.05718558444268
Topic 00, CVC-UNCC-09-03,4.203600310425934E-7,0.0011232020029458096
Topic 00, CVC-UNCC-09-05,0.009023877409608137,23.76889309690783
Topic 00, CVC-UNCC-09-06,5.364969678659905E-6,0.011513224930404157
Topic 00, CVC-UNCC-09-07,1.2665247999199864E-5,0.03187842921398606
Topic 00, CVC-UNCC-09-08,-0.0010152154622363073,-2.6608797265213613
