Topic 00		6163.781747695239
	cost	103.53651947848793
	gene	93.10289882144812
	model	81.53158207737962
	travel	63.996435511637074
	models	58.71963299255559
	genes	43.08049002309685
	function	40.485871179100855
	science	35.950324554755866
	article	35.29185914540567
	interactions	34.9231704263336
	also	33.73247944651657
	animation	32.89169177152836
	using	32.31310388128642
	tour	31.988461129545392
	microarray	31.980898796830388
	used	31.591281594173214
	learning	31.348561453610294
	two	31.331637928893308
	acm	30.42879033885957
	all	30.397950083328563


Topic 01		7911.003603374406
	video	350.7948534288435
	news	344.65932501590044
	semantic	170.58842998170647
	knowledge	137.92853032336498
	may	117.1892512266856
	items	75.28464432581289
	stories	70.56097509991555
	shots	60.8026925079524
	interestingness	55.87453420459662
	large-scale	54.078086045369055
	interest	51.4593478148315
	network	46.920297597355514
	most	45.2542763114316
	relevant	44.68793810098755
	shot	43.500919554115306
	different	43.09844117699393
	weights	41.95637702290122
	interesting	41.19164846593225
	statistical	40.85049122505378
	interpretation	39.73859508129575


Topic 02		7224.519258493541
	video	520.0325787350416
	human	136.43211072515751
	objects	108.1187490079911
	feature	85.10240629498622
	features	79.35073658457793
	object	77.5383335309855
	videos	76.15607773071808
	using	64.45692441349347
	action	64.30493539689891
	motion	57.87047638216325
	samples	57.0875414670608
	regions	55.020942693203274
	perceptual	51.09615277775286
	salient	46.84139264053101
	different	46.819118409812546
	detection	46.46341934673128
	intended	46.08774111367295
	training	43.44806583464483
	sketch	41.847675324575576
	proposed	40.62756317294536


Topic 03		16517.91328988577
	knowledge	652.9371232748906
	process	212.5769988667202
	reasoning	202.18464413294825
	human	199.2611025989216
	interaction	170.21864815421742
	cognitive	129.20803726443702
	userﾒs	127.71108133611557
	through	127.42509879272706
	model	124.85003687693398
	analytics	115.68893622697252
	processes	109.25496014640794
	how	107.63346212843744
	could	92.83987454460666
	but	91.18948714978319
	structure	90.9020796387255
	computer	87.96057303537341
	other	86.98336688512387
	has	83.71429141146139
	will	78.3003148449404
	what	78.00349139147858


Topic 04		10909.252341985622
	insights	156.74583090227352
	two	110.6016717166666
	control	103.67000957086711
	view	100.3605369708321
	how	89.84476884396378
	interaction	87.55608465020808
	participants	77.2825720358558
	insight	74.16335076543332
	layout	73.63363614216078
	use	73.00136241386706
	views	71.68823039779669
	using	70.47103763507393
	four	69.42225133202321
	were	62.44638746407659
	they	61.22253928909306
	parts	59.29552820307282
	individual	55.99668485050601
	task	55.62742288270926
	pca	54.714194355161865
	interactions	53.53299169841931


Topic 05		7244.9828049884145
	design	79.76474000854465
	requirements	73.97768678801538
	but	60.823102394670286
	work	57.17139757836458
	risk	56.94414278213723
	use	56.059388851590946
	security	52.70454188743757
	requirement	49.196787104641984
	all	48.85000653665885
	ieee	45.184234727682494
	its	44.11561549997295
	systems	42.451730222742675
	concept	39.355279265320526
	about	39.29155414841363
	most	38.31126058354261
	software	37.61649994437936
	formal	35.39719742464564
	would	35.334834349224835
	likely	34.01703650058278
	category	32.79898795662418


Topic 06		7387.014904255866
	simplification	187.6975734451663
	feature	146.7599749564554
	features	106.3634212766173
	models	97.17999485257137
	mesh	84.61446454755122
	model	72.61527169758291
	approach	57.00569029686177
	algorithm	54.355066695376976
	loop	50.607750130909025
	algorithms	44.216505508211704
	than	42.11214265731673
	results	42.05997085676808
	edge	38.0664476810439
	two	37.57343784174613
	tree	37.57257450964161
	objects	37.080437411644944
	simplified	36.59831710371057
	meshes	35.91052196130673
	one	35.32190613988207
	partition	34.582140609197396


Topic 07		10275.2630087063
	events	301.8189583954198
	event	231.87072826376877
	social	176.99870600229804
	media	133.05061519098618
	tweets	105.98874945336678
	topic	87.45880047133534
	analytics	81.95170076066573
	twitter	73.9900506106834
	movement	69.46205634070753
	temporal	61.62921108396324
	text	61.01122248087874
	through	60.55449719486673
	architecture	55.15170953530402
	based	54.19262405393826
	interactive	51.78406265079871
	using	49.02881736788795
	has	47.58073717704519
	topical	44.70957192447534
	occupy	44.06063856513543
	will	43.572336482010016


Topic 08		11142.146981296071
	process	143.81289358449862
	tools	101.74168272315748
	different	94.93798804231528
	communication	83.40370418462624
	processes	80.36216779716472
	could	76.88122408352514
	management	75.67148494386356
	they	68.3196136386866
	framework	66.88258564136365
	tasks	64.99501964001023
	analytics	63.72875510547257
	also	61.77998661714111
	interface	61.5551937761524
	network	59.416800416016684
	systems	58.65721509073768
	into	56.99979122969458
	structure	56.91665975656485
	provide	55.92144537538187
	other	55.09940362853853
	all	49.29900722037636


Topic 09		9866.823606983497
	analysts	139.8853282880387
	credit	108.77135591418414
	terrorist	105.57236873524074
	group	89.50051171706585
	gtd	76.13861905788858
	risk	70.76841790034777
	value	67.01631648548891
	terrorism	64.56746078352307
	resin	53.9825014986627
	groups	53.58808166482037
	analyst	53.0087907189362
	based	52.10207595248395
	trends	51.57026246658344
	market	51.40459854044578
	events	49.5864745339003
	activities	48.55915340672115
	patterns	48.46039955035535
	global	48.17268418029449
	attack	44.479585097888965
	analytics	44.42371574962172


Topic 10		14728.316913896146
	cognitive	254.32423554299675
	study	224.1334138092908
	participants	160.00772298027843
	were	159.69786917430815
	task	143.95268285268938
	load	135.62317381450302
	they	131.8885148540424
	was	127.5737025716844
	how	126.34088872821859
	tasks	111.70858124690938
	used	108.89167506613842
	subjects	104.89419380061315
	questions	96.18728849405902
	when	86.27450764609293
	studies	84.2008183769361
	evaluation	78.14561036626773
	differences	75.89908886892214
	accuracy	74.86701108503757
	design	73.14328786563391
	measures	68.7158773558707


Topic 11		8108.766743263387
