hierarchical
simplification
city
models
maintain
urban
legibility
remco
chang
thomas
butkiewicz
caroline
ziemkiewicz
zachary
wartell
pollard
william
ribarsky
university
north
carolina
charlotte
carnegie
mellon
caziemki
zwartell
}@uncc.edu
left
right
original
polygons
simplified
using
algorithm
been
shown
yellow
here
show
view-dependent
top-down
view
notice
closer
eye
point
detailed
geometry
while
farther
away
less
abstract
mesh
discrete
levels
detail
lod
well
studied
areas
research
computer
graphics
however
until
recently
most
developed
algorithms
focused
sim
plification
viewing
single
object
large
number
when
used
collection
simple
many
objects
may
completely
leading
results
misleading
viewer
paper
present
novel
approach
simplifying
collections
2.5d
build
ings
based
principles
defined
planners
main
contributions
include
clus
tering
tailored
towards
forming
logical
groups
roads
polyline
maintains
boundary
process
preserves
landmarks
advantage
complex
space
preserved
all
categories
mod
eling
hierarchy
geometric
transformations
surface
solid
representations
keywords
clustering
bility
introduction
traditionally
els
has
natural
shapes
advent
global
tools
pub
lic
use
google
earth
2005
ability
render
visualize
buildings
become
increasingly
important
beyond
there
need
make
rendering
any
useful
tasks
navigation
spatial
mental
maps
existing
techniques
trouble
often
nothing
than
boxes
eight
vertices
polygon
decimation
longer
retains
appearance
building
furthermore
performed
meshes
given
target
count
smaller
com
because
removal
causes
overall
metric
error
see
could
mean
disappearance
entire
residential
area
tend
commer
cial
regions
version
model
one
incorporate
concepts
architecture
planning
guidelines
performing
specifi
cally
examine
concept
lynch
written
categorized
into
paths
edges
districts
nodes
believe
maintaining
produce
better
understood
viewers
although
qualitative
measurements
step
considerations
key
idea
merging
similar
elements
consider
row
identical
houses
separated
lit
tle
viewed
afar
should
able
combine
geometries
them
together
accomplish
goal
break
algo
rithm
down
five
steps
cluster
ing
texturing
during
pre-processing
runtime
selects
appropriate
single-link
adopted
following
creates
created
previous
two
finally
allows
preservation
certain
pro
vides
overview
application
action
middle
qslim
generate
same
related
work
tremendous
amount
put
simpli
fication
comprehensive
survey
2001
will
only
focus
representa
tive
relevant
specifically
independent
vertex
similarities
other
thus
merge
multiple
methods
low
tan
terms
input
topologies
but
guarantee
output
free
visually
resembles
uses
partition
construct
multi-resolution
out
fashion
garland
heckbert
introduce
added
unconnected
within
user-specified
euclidean
distance
virtual
treated
manner
actual
[1999]
further
extends
dynamically
calculates
value
they
apply
eliminate
effect
switching
different
[2005]
pre
optimized
patches
lastly
take
inspiration
jang
who
suggest
man-made
features
typically
requires
sign
decisions
especially
selecting
link
initial
section
curve
much
history
gives
good
1997
provides
some
notable
ones
rele
vant
recursive
line
subdivision
quadric
zhou
due
unique
clusters
found
necessary
develop
new
positions
shape
numerous
applications
visu
alization
gis
2006
select
few
majority
terrain
2004
various
displaying
mostly
limited
rendered
exception
where
utilized
preserve
best
knowledge
pri
higher
way
vironment
efficiently
[2001]
randomized
buffer
scenes
interactive
rate
researchers
explored
image-based
tech
niques
e.g
1995
approaches
ally
compelling
problems
preserving
effects
require
numbers
images
also
note
visibility
particular
near
street
level
occlusion
described
2000
critical
achieving
optimal
performance
was
introduced
served
worlds
1996
wayfinding
environments
2002
selected
through
searchers
studies
investigate
effec
tiveness
years
his
book
lished
1960
kevin
defines
ease
its
parts
recognized
organized
coherent
pattern
refers
cues
people
order
ture
identify
environment
classified
types
travel
streets
etc
linear
considered
including
struc
tures
providing
boundaries
example
development
walls
medium
sections
observer
mentally
historical
strategic
spots
intense
activity
and/or
flow
occurring
frequently
times
square
york
recognizable
distinctive
servers
examples
posts
help
recognize
bird
therefore
mind
devise
shows
hierarchi
cal
grouping
combines
reduces
complexity
adds
fidelity
scene
next
describe
chart
showing
four
stage
considers
predominant
ical
does
sides
path
both
empty
spaces
achieve
along
contrast
k-means
agglomerative
bottom-up
technique
bases
criteria
create
balanced
tree
incorporates
size
min
denotes
cost
euclidian
fined
center
average
non-leaf
o(n3
changes
every
distances
computed
efficiency
approximate
o(n2
updates
measures
affected
merged
dis
tance
metrics
referring
updated
exact
accommodate
datasets
creating
once
complete
node
contains
geographically
roughly
bounded
then
aggregate
district
mid
dle
footprints
separately
heights
permits
rules
first
find
footprint
known
6(a
call
directed
necessarily
convex
compute
recursively
child
possible
scenarios
intersections
shortest
non
intersecting
called
connection
those
pivot
figures
starting
follow
trace
returns
forms
either
6(c
result
latter
choose
repeat
circled
green
pink
successful
finds
7(a
required
above
insufficient
full
search
begins
followed
edge
scheme
inverse
cussed
ensures
circles
exam
ple
heuristic
fails
dotted
lines
repre
sent
three
candidate
cause
self-intersections
respectively
intersect
begin
heuristically
candidates
pairs
7(b
words
uniquely
list
distinct
perform
scenario
falls
side
reject
pair
another
repeated
valid
sizes
limit
otherwise
similarly
inside
vice
versa
simply
copy
outer
basic
segment
connecting
ends
subdivided
sion
would
segments
shorter
user-defined
thresh
old
produces
converges
quickly
general
ary
stages
resemble
star
sharp
angles
instead
generated
water
tight
iteratively
remove
neighbors
smallest
positive
con
theorem
1991
always
removed
1000
factor
deciding
stopping
criterion
essential
structure
parent
sum
children
largest
combined
chosen
empirically
balance
minimization
fact
moved
conjunction
opengl
arrays
speed
memory
calculated
define
height
weighted
weight
rectly
proportional
dramatically
differ
ent
handled
final
polygonal
ter
produced
sky
cre
ate
triangulation
roof
texture
purpose
quality
sense
rather
scales
enforce
small
even
pixel
errors
textures
interactivity
generally
accepted
mapping
still
processes
applica
tion
problem
making
impossible
reuse
gener
face
placing
camera
clipping
plane
lies
age
scaled
faces
set
fit
tex
resolution
length
scaling
pleasing
continuous
seam
textured
difficult
negative
tween
visible
cam
era
angle
slightly
expects
views
east
south
west
again
avoid
chooses
closest
look
top
sort
neg
ative
divide
bins
bin
having
six
files
ample
pixels
last
getting
observation
tends
drastically
depths
ensure
enough
priority
least
swapped
becomes
constraint
experience
capability
blend
worse
ana
done
analyt
calculation
screen
newer
cards
dimensions
card
nvidia
100
allocated
difference
too
implementation
rectangle
ratio
bounding
box
converted
projected
onto
compared
against
tolerance
greater
checked
sequence
perhaps
seems
reasonable
taller
importance
roles
defining
threshold
determine
acceptable
drawn
represent
world
coordinate
gorithm
analyses
dataset
downtown
china
containing
atlanta
georgia
poly
tests
desktop
display
lists
layout
follows
around
ters
applying
placed
seen
real
manually
accurate
available
simulated
richness
taining
addition
tured
appear
ance
rithms
comparing
demonstrates
suited
retaining
legible
consistent
allow
modify
changing
effectively
controlling
origi
nal
landmark
additional
setting
10000
consideration
frame
rates
starts
far
slowly
zooms
rotates
flies
abrupt
drops
caused
loading
fall
below
overhead
consuming
current
loses
resemblance
occurs
surprisingly
relationship
reflected
drastic
simplifications
points
frames
sets
compare
intensity
values
total
differences
divided
test
color
considering
rgb
semantic
browser
bridging
automated
intelligent
jing
yang
jianping
fan
daniel
yuli
gao
hangzai
luo
